"scientific_name","qc_status"
"Draba arctica","Susceptible"
"Symphyotrichum subulatum","Susceptible"
"Alchemilla alpina","Susceptible"
"Sphagnum austinii","Susceptible"
"Schistidium atrichum","Susceptible"
"Hyophila involuta","Susceptible"
"Pseudoleskea stenophylla","Susceptible"
"Eleocharis mamillata","Susceptible"
"Diplophyllum obtusatum","Susceptible"
"Calidris canutus","Susceptible"
"Bryum marratii","Susceptible"
"Adela caeruleella","Susceptible"
"Lasius minutus","Susceptible"
"Frullania inflata","Susceptible"
"Sanionia orthothecioides","Susceptible"
"Schistidium crassipilum","Susceptible"
"Dicranella staphylina","Susceptible"
"Bryum rubens","Susceptible"
"Bryum gemmiparum","Susceptible"
"Scapania kaurinii","Susceptible"
"Marchantia polymorpha","Susceptible"
"Tritomaria capitata","Susceptible"
"Potamogeton illinoensis","Susceptible"
"Sphagnum orientale","Susceptible"
"Bombus terricola","Susceptible"
"Schizaea pusilla","Susceptible"
"Cyperus erythrorhizos","Susceptible"
"Marsupella boeckii","Susceptible"
"Eremonotus myriocarpus","Susceptible"
"Platanus occidentalis","Susceptible"
"Endogemma caespiticia","Susceptible"
"Cephaloziella uncinata","Susceptible"
"Campylophyllum sommerfeltii","Susceptible"
"Sphagnum rubiginosum","Susceptible"
"Bombus affinis","Susceptible"
"Schistidium pulchrum","Susceptible"
"Schistidium frigidum","Susceptible"
"Schistidium cryptocarpum","Susceptible"
"Schistidium venetum","Susceptible"
"Schistidium grandirete","Susceptible"
"Schistidium flexipile","Susceptible"
"Sphagnum mirum","Susceptible"
"Salix pseudomonticola","Susceptible"
"Veronica catenata","Susceptible"
"Veronica alpina","Susceptible"
"Penstemon hirsutus","Susceptible"
"Pedicularis palustris","Susceptible"
"Contopus cooperi","Susceptible"
"Micranthes gaspensis","Susceptible"
"Crataegus coccinioides","Susceptible"
"Cistothorus platensis","Susceptible"
"Viola sagittata","Susceptible"
"Salix maccalliana","Susceptible"
"Houstonia longifolia","Susceptible"
"Galium brevipes","Susceptible"
"Potentilla arenosa","Susceptible"
"Crataegus suborbiculata","Susceptible"
"Carex argyrantha","Susceptible"
"Micranthes stellaris","Susceptible"
"Carex trichocarpa","Susceptible"
"Festuca baffinensis","Susceptible"
"Peltandra virginica","Susceptible"
"Potamogeton strictifolius","Susceptible"
"Tyto alba","Susceptible"
"Asio flammeus","Susceptible"
"Chordeiles minor","Susceptible"
"Viola rostrata","Susceptible"
"Carex typhina","Susceptible"
"Carex tincta","Susceptible"
"Carex sychnocephala","Susceptible"
"Carex swanii","Susceptible"
"Verbena stricta","Susceptible"
"Antrostomus vociferus","Susceptible"
"Chaetura pelagica","Susceptible"
"Crataegus crus","Susceptible"
"Carex virescens","Susceptible"
"Pycnanthemum tenuifolium","Susceptible"
"Oenothera pilosella","Susceptible"
"Oenothera gaura","Susceptible"
"Epilobium brachycarpum","Susceptible"
"Epilobium saximontanum","Susceptible"
"Vermivora chrysoptera","Susceptible"
"Astragalus americanus","Susceptible"
"Crataegus schuettei","Susceptible"
"Prionace glauca","Susceptible"
"Polygala ambigua","Susceptible"
"Physostegia virginiana","Susceptible"
"Blephilia hirsuta","Susceptible"
"Agastache nepetoides","Susceptible"
"Juglans cinerea","Susceptible"
"Carya ovata","Susceptible"
"Thalictrum dasycarpum","Susceptible"
"Trichostema dichotomum","Susceptible"
"Samolus parviflorus","Susceptible"
"Crataegus brainerdii","Susceptible"
"Amelanchier amabilis","Susceptible"
"Agrimonia pubescens","Susceptible"
"Salix arbusculoides","Susceptible"
"Salix amygdaloides","Susceptible"
"Prunus pumila","Susceptible"
"Polygala polygama","Susceptible"
